"file","pointCount","xMin","xMax","yMin","yMax","zMin","zMax"
"0466ea84-fb24-4090-82aa-6425808ba60c.mod","10","-40","40","-40","40","0","0"
"049c9f91-fcb3-4861-b0a6-c6a948183e4e.mod","4","-211.999999999993","-19.999999999995","0","0","842.000000000007","866.000000000008"
"049c9f91-fcb3-4861-b0a6-c6a948183e4e.mod","4","-223.999999999994","-199.999999999994","-2","-2","854.000000000008","902.000000000003"
"049c9f91-fcb3-4861-b0a6-c6a948183e4e.mod","4","-175.999999999991","-151.999999999991","-2","-2","854.000000000008","902.000000000003"
"049c9f91-fcb3-4861-b0a6-c6a948183e4e.mod","4","-127.999999999991","-103.999999999992","-2","-2","854.000000000008","902.000000000003"
"049c9f91-fcb3-4861-b0a6-c6a948183e4e.mod","4","-79.9999999999894","-55.9999999999894","-2","-2","854.000000000007","902.000000000003"
"04ad442b-b499-4e6f-a1ee-4de4d2300d5a.mod","4","-74.9999999999999","74.9999999999999","-150","150","0","0"
"04d6f516-1cc4-465a-91f3-17f6585612d4.mod","10","-40","40","-40","40","0","0"
"04dceac9-3cd9-47a7-9367-e79a354e9115.mod","4","-211.999999999993","-19.999999999995","0","0","842.000000000007","866.000000000008"
"04dceac9-3cd9-47a7-9367-e79a354e9115.mod","4","-223.999999999994","-199.999999999994","-2","-2","854.000000000008","902.000000000003"
"04dceac9-3cd9-47a7-9367-e79a354e9115.mod","4","-175.999999999991","-151.999999999991","-2","-2","854.000000000008","902.000000000003"
"04dceac9-3cd9-47a7-9367-e79a354e9115.mod","4","-127.999999999991","-103.999999999992","-2","-2","854.000000000008","902.000000000003"
"04dceac9-3cd9-47a7-9367-e79a354e9115.mod","4","-79.9999999999894","-55.9999999999894","-2","-2","854.000000000007","902.000000000003"
"04f94b54-0bea-4df2-b5c3-dab5c7be7330.mod","10","-40","40","-40","40","0","0"
"05052808-92d0-4f2b-b1bc-884550517b6f.mod","4","-74.9999999999999","74.9999999999999","-150","150","0","0"
"0509dd59-6f19-4601-9e32-658d9259af04.mod","10","-20","20","-20","20","0","0"
"052fb026-045e-489e-820c-be36d8c6013c.mod","4","-74.9999999999999","74.9999999999999","-150","150","0","0"
"057bfd51-47ab-4e45-ad4a-13bc988ef0bf.mod","4","-782.000052539165","-782.000052539165","4895.85258549119","6095.75931193791","1081.13971816316","1152.24736593773"
"057bfd51-47ab-4e45-ad4a-13bc988ef0bf.mod","4","-782.000052539165","-782.000052539165","4895.85258549119","6070.85259395363","530.087970846412","1127.08013334741"
"05b7b282-51a3-48fd-9ae7-e7827c2dd808.mod","4","-100","-100","3291.99627258798","3654.49296873698","669.042599754001","936.042599754001"
"05b7b282-51a3-48fd-9ae7-e7827c2dd808.mod","4","-110","-110","3279.99627258798","3291.99627258798","653.542599754","938.542599754"
"05b7b282-51a3-48fd-9ae7-e7827c2dd808.mod","8","-39.999999999931","-39.999999999931","3366.99377633148","3562.06098170096","936.042599754001","1050.00696860155"
"05bd5973-568a-437a-9616-e321581f9d36.mod","4","-150","150","-74.9999999999999","74.9999999999999","0","0"
"05cef87d-1a54-492a-b921-c96473ad1707.mod","4","-150","150","-74.9999999999999","74.9999999999999","0","0"
